series_id,game_number,game_attempt,match_id,folder,higher_seed,higher_model,lower_seed,lower_model,hermes_seed,hermes_model,openclaw_seed,openclaw_model,winner_seed,winner_model,hands_played,termination_reason,total_action_count,total_auto_action_count,total_error_count,total_repaired_action_count,total_cost_micros,max_decision_latency_ms,round,round_label,series_score_after_game,report_file,source_match_id
qf_a,1,1,01KRBQ5F4REX6QDDZ8AV74AGRQ,matches/round1-gpt5.5-vs-qwen3.6-max-preview-match1,1,GPT-5.5,8,Qwen3.6 Max Preview,1,GPT-5.5,8,Qwen3.6 Max Preview,1,GPT-5.5,32,bankruptcy,150,0,0,0,214703,12656,quarterfinal,round1,,report.html,01KRBQ5F4REX6QDDZ8AV74AGRQ
qf_a,2,1,01KRBQZ6JYQNDP697YWZRCJADH,matches/round1-gpt5.5-vs-qwen3.6-max-preview-match2,1,GPT-5.5,8,Qwen3.6 Max Preview,8,Qwen3.6 Max Preview,1,GPT-5.5,1,GPT-5.5,6,bankruptcy,29,0,0,0,40704,12544,quarterfinal,round1,,report.html,01KRBQZ6JYQNDP697YWZRCJADH
qf_a,3,1,01KRBR4D5VHCS6ZTEM0HVD76JM,matches/round1-gpt5.5-vs-qwen3.6-max-preview-match3,1,GPT-5.5,8,Qwen3.6 Max Preview,1,GPT-5.5,8,Qwen3.6 Max Preview,1,GPT-5.5,6,bankruptcy,40,0,0,0,56035,13570,quarterfinal,round1,,report.html,01KRBR4D5VHCS6ZTEM0HVD76JM
qf_a,4,1,01KRBRC2TPAXX3XQN72J3W8W8D,matches/round1-gpt5.5-vs-qwen3.6-max-preview-match4,1,GPT-5.5,8,Qwen3.6 Max Preview,8,Qwen3.6 Max Preview,1,GPT-5.5,1,GPT-5.5,61,bankruptcy,267,0,0,0,384222,13127,quarterfinal,round1,,report.html,01KRBRC2TPAXX3XQN72J3W8W8D
qf_b,1,58,01KRBV0HCFB0ZGT23R0XV67SSS,matches/round1-gemini-3.1-pro-preview-vs-deepseek-v4-pro-match1,4,Gemini 3.1 Pro Preview,5,DeepSeek V4 Pro,4,Gemini 3.1 Pro Preview,5,DeepSeek V4 Pro,4,Gemini 3.1 Pro Preview,17,bankruptcy,54,0,0,3,103327,7998,quarterfinal,round1,,report.html,01KRBV0HCFB0ZGT23R0XV67SSS
qf_b,2,1,01KRBV91YZKT54Q4JEXYEKN33B,matches/round1-gemini-3.1-pro-preview-vs-deepseek-v4-pro-match2,4,Gemini 3.1 Pro Preview,5,DeepSeek V4 Pro,5,DeepSeek V4 Pro,4,Gemini 3.1 Pro Preview,5,DeepSeek V4 Pro,61,bankruptcy,116,0,0,3,204815,17371,quarterfinal,round1,,report.html,01KRBV91YZKT54Q4JEXYEKN33B
qf_b,3,1,01KRBVXESRWWVGTT97PW0KY4G1,matches/round1-gemini-3.1-pro-preview-vs-deepseek-v4-pro-match3,4,Gemini 3.1 Pro Preview,5,DeepSeek V4 Pro,4,Gemini 3.1 Pro Preview,5,DeepSeek V4 Pro,4,Gemini 3.1 Pro Preview,12,bankruptcy,40,0,0,1,64129,7544,quarterfinal,round1,,report.html,01KRBVXESRWWVGTT97PW0KY4G1
qf_b,4,1,01KRBW350SJSXD3WFP768NDXB3,matches/round1-gemini-3.1-pro-preview-vs-deepseek-v4-pro-match4,4,Gemini 3.1 Pro Preview,5,DeepSeek V4 Pro,5,DeepSeek V4 Pro,4,Gemini 3.1 Pro Preview,4,Gemini 3.1 Pro Preview,87,bankruptcy,233,0,0,12,430005,14106,quarterfinal,round1,,report.html,01KRBW350SJSXD3WFP768NDXB3
qf_b,5,4,01KRBZ0GW28VW180WT8PZ01KGR,matches/round1-gemini-3.1-pro-preview-vs-deepseek-v4-pro-match5,4,Gemini 3.1 Pro Preview,5,DeepSeek V4 Pro,4,Gemini 3.1 Pro Preview,5,DeepSeek V4 Pro,5,DeepSeek V4 Pro,21,bankruptcy,48,0,0,3,86648,11114,quarterfinal,round1,,report.html,01KRBZ0GW28VW180WT8PZ01KGR
qf_b,6,1,01KRBZ911K38627MSP5YNFD6N6,matches/round1-gemini-3.1-pro-preview-vs-deepseek-v4-pro-match6,4,Gemini 3.1 Pro Preview,5,DeepSeek V4 Pro,5,DeepSeek V4 Pro,4,Gemini 3.1 Pro Preview,4,Gemini 3.1 Pro Preview,99,bankruptcy,219,0,0,11,411499,13220,quarterfinal,round1,,report.html,01KRBZ911K38627MSP5YNFD6N6
qf_c,1,1,01KRC0CTG6230V57M0CWC3MKR5,matches/round1-grok4.3-vs-kimi-k2.6-match1,3,Grok 4.3,6,Kimi K2.6,3,Grok 4.3,6,Kimi K2.6,6,Kimi K2.6,98,bankruptcy,311,0,0,7,125994,27419,quarterfinal,round1,,report.html,01KRC0CTG6230V57M0CWC3MKR5
qf_c,2,1,01KRC16RWHYB7F95ZAHQZ85T94,matches/round1-grok4.3-vs-kimi-k2.6-match2,3,Grok 4.3,6,Kimi K2.6,6,Kimi K2.6,3,Grok 4.3,3,Grok 4.3,25,bankruptcy,68,0,0,2,28276,11770,quarterfinal,round1,,report.html,01KRC16RWHYB7F95ZAHQZ85T94
qf_c,3,2,01KRC22WBCVCJK8M78AK74D63Q,matches/round1-grok4.3-vs-kimi-k2.6-match3,3,Grok 4.3,6,Kimi K2.6,3,Grok 4.3,6,Kimi K2.6,3,Grok 4.3,54,bankruptcy,188,0,0,1,77650,11733,quarterfinal,round1,,report.html,01KRC22WBCVCJK8M78AK74D63Q
qf_c,4,1,01KRC2KW5DNK2Y6SC6NW4NC2CF,matches/round1-grok4.3-vs-kimi-k2.6-match4,3,Grok 4.3,6,Kimi K2.6,6,Kimi K2.6,3,Grok 4.3,6,Kimi K2.6,61,bankruptcy,187,0,0,3,82099,18568,quarterfinal,round1,,report.html,01KRC2KW5DNK2Y6SC6NW4NC2CF
